id,name,dataset,state,region,province,municipality,lapse_rate_code,lat,lon,utmx,utmy,altitude,value
5541,Polinago,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,POLINAGO,0,44.3436,10.7298,637880,4.9115e+06,754,11.8
5544,Teruzzi,simnpr,ITALY,EMILIA-ROMAGNA,PIACENZA,MORFASSO,0,44.695,9.68524,554293,4.9493e+06,1077,7.39999
5548,Casalporino,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,BEDONIA,0,44.5271,9.54738,543496,4.93057e+06,925,9.69999
5549,Mormorola,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,VALMOZZOLA,1,44.5688,9.88653,570394,4.93543e+06,556,11.2
5553,Albareto Parma,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,ALBARETO,1,44.4469,9.69847,555577,4.92174e+06,495,10.8
5554,Farfanaro,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,COMPIANO,0,44.5667,9.67953,553960,4.93504e+06,787,8.79999
5555,Varsi,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,VARSI,1,44.6494,9.82106,565105,4.94433e+06,451,12.8
5556,Valdena,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,BORGO VAL DI TARO,0,44.4441,9.78421,562402,4.9215e+06,762,7.99999
5558,Frassineto,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,BARDI,1,44.5816,9.58508,546447,4.93664e+06,824,10.3
5559,Guiglia,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,GUIGLIA,0,44.4325,10.9924,658577,4.92184e+06,456,11.3
5560,Baiso,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,BAISO,0,44.4991,10.6057,627652,4.92856e+06,550,12.1
5561,Cabanne,simnpr,ITALY,LIGURIA,GENOVA,REZZOAGLIO,1,44.4952,9.34647,527546,4.92693e+06,848,7.09999
5565,Alpe Gorreto,simnpr,ITALY,LIGURIA,GENOVA,GORRETO,0,44.6037,9.23553,518690,4.93896e+06,849,7.99999
5566,Barbagelata,simnpr,ITALY,LIGURIA,GENOVA,MONTEBRUNO,0,44.481,9.24207,519251,4.92532e+06,1116,5.29999
5567,Gropparello,simnpr,ITALY,EMILIA-ROMAGNA,PIACENZA,GROPPARELLO,1,44.8251,9.7255,557354,4.96378e+06,341,13
5568,Rovegno,simnpr,ITALY,LIGURIA,GENOVA,ROVEGNO,1,44.5734,9.28496,522625,4.9356e+06,745,9.39999
5569,Passo delle Radici,simnpr,ITALY,TOSCANA,LUCCA,CASTIGLIONE DI GARFAGNANA,0,44.2098,10.4886,618929,4.89625e+06,1535,3.29999
